2025-07-17 17:37:09 | proactor_events.py | __init__ | DEBUG | Using proactor: IocpProactor
2025-07-17 17:37:09 | connectionpool.py | _new_conn | DEBUG | Starting new HTTPS connection (1): api.smith.langchain.com:443
2025-07-17 17:37:09 | connectionpool.py | _make_request | DEBUG | https://api.smith.langchain.com:443 "GET /info HTTP/1.1" 200 749
2025-07-17 17:37:09 | _background_thread.py | tracing_control_thread_func_compress_parallel | DEBUG | Tracing control thread func compress parallel called
2025-07-17 17:37:09 | utils.py | tavily_search_async | DEBUG | Starting 2 concurrent Tavily searches with max_results=2, topic=general, include_raw_content=True
2025-07-17 17:37:09 | utils.py | tavily_search_async | DEBUG | Starting 2 concurrent Tavily searches with max_results=2, topic=general, include_raw_content=True
2025-07-17 17:37:09 | utils.py | tavily_search_async | DEBUG | Starting 2 concurrent Tavily searches with max_results=2, topic=general, include_raw_content=True
2025-07-17 17:37:09 | utils.py | tavily_search_async | DEBUG | Starting 2 concurrent Tavily searches with max_results=2, topic=general, include_raw_content=True
2025-07-17 17:37:09 | utils.py | tavily_search_async | DEBUG | Starting 2 concurrent Tavily searches with max_results=2, topic=general, include_raw_content=True
2025-07-17 17:37:09 | utils.py | tavily_search_async | DEBUG | Starting 2 concurrent Tavily searches with max_results=2, topic=general, include_raw_content=True
2025-07-17 17:37:09 | utils.py | tavily_search_async | DEBUG | Starting 2 concurrent Tavily searches with max_results=2, topic=general, include_raw_content=True
2025-07-17 17:37:09 | utils.py | tavily_search_async | DEBUG | Starting 2 concurrent Tavily searches with max_results=2, topic=general, include_raw_content=True
2025-07-17 17:37:09 | utils.py | tavily_search_async | DEBUG | Starting 2 concurrent Tavily searches with max_results=2, topic=general, include_raw_content=True
2025-07-17 17:37:09 | utils.py | tavily_search_async | DEBUG | Starting 2 concurrent Tavily searches with max_results=2, topic=general, include_raw_content=True
2025-07-17 17:37:09 | utils.py | tavily_search_async | DEBUG | Starting 2 concurrent Tavily searches with max_results=2, topic=general, include_raw_content=True
2025-07-17 17:37:09 | utils.py | tavily_search_async | DEBUG | Starting 2 concurrent Tavily searches with max_results=2, topic=general, include_raw_content=True
2025-07-17 17:37:09 | utils.py | tavily_search_async | DEBUG | Starting 2 concurrent Tavily searches with max_results=2, topic=general, include_raw_content=True
2025-07-17 17:37:09 | utils.py | tavily_search_async | DEBUG | Starting 2 concurrent Tavily searches with max_results=2, topic=general, include_raw_content=True
2025-07-17 17:37:09 | utils.py | tavily_search_async | DEBUG | Starting 2 concurrent Tavily searches with max_results=2, topic=general, include_raw_content=True
2025-07-17 17:37:09 | utils.py | tavily_search_async | DEBUG | Starting 2 concurrent Tavily searches with max_results=2, topic=general, include_raw_content=True
2025-07-17 17:37:09 | utils.py | safe_search | DEBUG | Starting Tavily search for query: 2024湖南制造业质量合格率 省统计局
2025-07-17 17:37:09 | utils.py | safe_search | DEBUG | Starting Tavily search for query: 湖南省质量强省政策2024
2025-07-17 17:37:10 | utils.py | safe_search | DEBUG | Starting Tavily search for query: 长沙工程机械合格率2024
